scenario,gridiv,dangerous_heat_hours_gt35,t2_min_c,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2
future,1,20,28.19792843062045,31.221005819606685,36.88810959354613,46.66318129368444,104.06425875152935,164.98880986643343
future,2,17,28.401966149755648,31.280194418535608,36.79530779591355,46.553045442212785,104.75363453428123,164.98880986643343
future,3,21,28.2098268467359,31.22479785591834,36.94148711551203,46.914274029001916,104.53558759661173,164.98880986643343
future,4,103,28.466363240171358,31.86672999541166,39.29709947963311,149.12754151786567,135.3845883841049,164.38320727491222
future,5,96,28.462248455384938,31.846441112549538,39.22937246569334,149.69642955827453,135.64037278446781,164.38320727491222
future,6,35,28.335386526567568,31.50797616191835,37.62571682898105,83.45938258966105,117.98889807502424,165.11493383737115
future,7,126,28.469869458088688,31.990677046480315,40.398668523872644,153.5974027067272,136.44810132572354,164.38320727491222
future,8,55,28.296121896266595,31.604919908789153,38.372872994035866,86.61315824955014,118.71472590889722,165.11493383737115
future,9,211,28.517025731373497,32.29554094935357,41.720280115042435,153.93816215302624,136.37702326158376,164.38320727491222
future,10,65,28.366409149023546,31.677940509304413,38.57290289202014,88.79062505886434,119.31826332065562,165.11493383737115
