gridiv,name,paved_sfr_before,paved_sfr_after,evetr_sfr_before,evetr_sfr_after
1,Jade Gardens,0.593,0.5429999999999999,0.108,0.158
2,Serendib Rise,0.572,0.5219999999999999,0.108,0.158
3,Taman Melati,0.567,0.5169999999999999,0.108,0.158
4,Kampong Lama,0.71,0.6599999999999999,0.03,0.08
5,Dhobi Lines,0.68,0.63,0.03,0.08
6,Lusitano Square,0.6,0.5499999999999999,0.06,0.11
7,Mlima Moto,0.51,0.46,0.03,0.08
8,Victoria Exchange,0.46,0.41000000000000003,0.06,0.11
9,Fuzhou Lanes,0.5,0.45,0.03,0.08
10,Zheng He Towers,0.36,0.31,0.06,0.11
