experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
trees_5pp_from_paved,1,Jade Gardens,refuge,39,20,19,0.0,0.0,0.0,7,7,31.311297161272048,37.77098022283487,48.165906577995116,105.9300475805168,165.6260372590023,60.64961608481497
trees_5pp_from_paved,2,Serendib Rise,refuge,23,17,6,0.0,0.0,0.0,7,7,31.299886376936488,37.158051506745856,48.116514949159395,106.55688381539358,165.6260372590023,60.072171478773946
trees_5pp_from_paved,3,Taman Melati,refuge,66,21,45,0.0,0.0,0.0,7,7,31.377839492828112,38.833094684199274,48.452678046002355,106.36328039506581,165.6260372590023,59.92961180225871
trees_5pp_from_paved,4,Kampong Lama,hotspot,122,103,19,0.6149132421733862,0.756598480591236,-0.14168523841784986,3,3,31.94045477973728,39.895206625682434,151.22155667054298,136.62297200035937,165.02043466748106,68.19631204673004
trees_5pp_from_paved,5,Dhobi Lines,hotspot,108,96,12,0.5774841448776312,0.7267303878603549,-0.1492462429827237,4,4,31.887509027975803,39.675877375441175,151.80091275902447,136.87754844381698,165.02043466748106,67.36237951479094
trees_5pp_from_paved,6,Lusitano Square,core,46,35,11,0.15778915851841532,0.1875092010551888,-0.02972004253677349,6,6,31.545109561157435,38.01897661767848,85.72835538018043,119.06341858679376,165.75216122994001,64.65717911876223
trees_5pp_from_paved,7,Mlima Moto,hotspot,316,126,190,0.8981716803104985,0.8329958739496157,0.06517580636088283,2,2,32.85232801603798,44.6926421897475,155.67790844618523,137.73248762704816,165.02043466748106,62.63044464439898
trees_5pp_from_paved,8,Victoria Exchange,core,143,55,88,0.23398515378495927,0.2056614781991592,0.028323675585800068,5,5,31.897895447855436,40.813673160568776,88.86175230325556,119.83898058467577,165.75216122994001,60.74822019780507
trees_5pp_from_paved,9,Fuzhou Lanes,hotspot,439,211,228,1.0,1.0,0.0,1,1,33.70082967101063,48.0605970611099,156.06043799835848,137.62942721222004,165.02043466748106,62.350975507053846
trees_5pp_from_paved,10,Zheng He Towers,core,127,65,62,0.0,0.0,0.0,7,7,31.847049884414115,40.084156319494824,90.9955146863973,120.49622011201404,165.75216122994001,57.95721828732505
